transaction_id,payment_method,card_type,status
TXN000205,Bank Transfer,None,Failed
TXN000206,Crypto,None,Failed
TXN000207,PayPal,None,Pending
TXN000208,PayPal,None,Failed
TXN000209,PayPal,None,Success
TXN000210,Debit Card,MasterCard,Success
TXN000211,Bank Transfer,None,Success
TXN000212,Debit Card,Amex,Failed
TXN000213,Crypto,None,Success
TXN000214,Credit Card,MasterCard,Failed
TXN000215,Crypto,None,Failed
TXN000216,Crypto,None,Failed
TXN000217,PayPal,None,Success
TXN000218,Credit Card,MasterCard,Success
TXN000219,Crypto,None,Success
TXN000220,Bank Transfer,None,Failed
TXN000221,Crypto,None,Success
TXN000222,Crypto,None,Failed
TXN000223,Bank Transfer,None,Pending
TXN000224,Crypto,None,Pending
TXN000225,PayPal,None,Pending
TXN000226,Bank Transfer,None,Pending
TXN000227,Bank Transfer,None,Failed
TXN000228,Crypto,None,Success
TXN000229,Debit Card,None,Pending
TXN000230,Bank Transfer,None,Pending
TXN000231,Debit Card,None,Success
TXN000232,PayPal,None,Failed
TXN000233,Bank Transfer,None,Pending
TXN000234,Credit Card,None,Success
TXN000235,Credit Card,MasterCard,Success
TXN000236,Bank Transfer,None,Pending
TXN000237,PayPal,None,Pending
TXN000238,Crypto,None,Success
TXN000239,PayPal,None,Pending
TXN000240,Credit Card,Visa,Pending
TXN000241,Debit Card,Visa,Success
TXN000242,Bank Transfer,None,Failed
TXN000243,Debit Card,Visa,Failed
TXN000244,Debit Card,Amex,Pending
TXN000245,Credit Card,Amex,Failed
TXN000246,Credit Card,Visa,Pending
TXN000247,Bank Transfer,None,Success
TXN000248,Bank Transfer,None,Failed
TXN000249,Bank Transfer,None,Pending
TXN000250,Bank Transfer,None,Success
TXN000251,PayPal,None,Failed
TXN000252,Crypto,None,Success
TXN000253,Credit Card,MasterCard,Success
TXN000254,Credit Card,Amex,Success
TXN000255,Debit Card,Amex,Pending
TXN000256,Credit Card,Visa,Pending
TXN000257,Credit Card,Amex,Success
TXN000258,PayPal,None,Pending
TXN000259,Credit Card,Visa,Success
TXN000260,Crypto,None,Pending
TXN000261,Crypto,None,Success
TXN000262,Credit Card,MasterCard,Pending
TXN000263,PayPal,None,Failed
TXN000264,Debit Card,None,Pending
TXN000265,Credit Card,Amex,Success
TXN000266,Credit Card,Amex,Pending
TXN000267,Debit Card,MasterCard,Success
TXN000268,Crypto,None,Pending
TXN000269,Credit Card,Visa,Pending
TXN000270,Credit Card,Amex,Pending
TXN000271,Credit Card,None,Pending
TXN000272,Bank Transfer,None,Failed
TXN000273,PayPal,None,Pending
TXN000274,Bank Transfer,None,Failed
TXN000275,Bank Transfer,None,Failed
TXN000276,PayPal,None,Success
TXN000277,Crypto,None,Pending
TXN000278,Credit Card,MasterCard,Pending
TXN000279,PayPal,None,Failed
TXN000280,PayPal,None,Failed
TXN000281,Credit Card,Amex,Pending
TXN000282,Crypto,None,Pending
TXN000283,Bank Transfer,None,Pending
TXN000284,Credit Card,MasterCard,Success
TXN000285,Bank Transfer,None,Pending
TXN000286,Debit Card,Amex,Pending
TXN000287,Bank Transfer,None,Success
TXN000288,Crypto,None,Pending
TXN000289,PayPal,None,Success
TXN000290,Crypto,None,Success
TXN000291,Credit Card,Visa,Failed
TXN000292,Debit Card,Amex,Success
TXN000293,Bank Transfer,None,Success
TXN000294,Debit Card,Visa,Failed
TXN000295,PayPal,None,Failed
TXN000296,Bank Transfer,None,Failed
TXN000297,Credit Card,None,Pending
TXN000298,PayPal,None,Pending
TXN000299,Credit Card,None,Success
TXN000300,Debit Card,Visa,Failed
TXN000301,PayPal,None,Success
TXN000302,Debit Card,MasterCard,Success
TXN000303,Credit Card,Visa,Pending
TXN000304,Crypto,None,Success
TXN000305,Crypto,None,Pending
TXN000306,Debit Card,Amex,Failed
TXN000307,Debit Card,Visa,Failed
TXN000308,Bank Transfer,None,Success
TXN000309,Crypto,None,Pending
TXN000310,PayPal,None,Success
TXN000311,Crypto,None,Failed
TXN000312,Crypto,None,Pending
TXN000313,Bank Transfer,None,Pending
TXN000314,Debit Card,None,Success
TXN000315,Bank Transfer,None,Pending
TXN000316,PayPal,None,Pending
TXN000317,Debit Card,Visa,Pending
TXN000318,Credit Card,Visa,Pending
TXN000319,PayPal,None,Failed
TXN000320,Debit Card,MasterCard,Pending
TXN000321,PayPal,None,Pending
TXN000322,Crypto,None,Failed
TXN000323,Crypto,None,Failed
TXN000324,Debit Card,Visa,Success
TXN000325,Bank Transfer,None,Success
TXN000326,Credit Card,Amex,Failed
TXN000327,Bank Transfer,None,Success
TXN000328,Crypto,None,Failed
TXN000329,Bank Transfer,None,Pending
TXN000330,Debit Card,None,Pending
TXN000331,Debit Card,Amex,Failed
TXN000332,Bank Transfer,None,Success
TXN000333,Bank Transfer,None,Success
TXN000334,Crypto,None,Pending
TXN000335,Credit Card,None,Pending
TXN000336,Credit Card,Visa,Failed
TXN000337,Crypto,None,Success
TXN000338,Credit Card,Visa,Pending
TXN000339,Crypto,None,Success
TXN000340,Crypto,None,Success
TXN000341,Bank Transfer,None,Pending
TXN000342,Credit Card,None,Failed
TXN000343,Bank Transfer,None,Pending
TXN000344,Debit Card,MasterCard,Failed
TXN000345,Credit Card,MasterCard,Success
TXN000346,PayPal,None,Pending
TXN000347,Credit Card,MasterCard,Success
TXN000348,Debit Card,Amex,Failed
TXN000349,PayPal,None,Success
TXN000350,Crypto,None,Failed
TXN000351,PayPal,None,Pending
TXN000352,Debit Card,None,Success
TXN000353,Credit Card,Amex,Success
TXN000354,Debit Card,MasterCard,Success
TXN000355,Crypto,None,Success
TXN000356,PayPal,None,Pending
TXN000357,Credit Card,Amex,Failed
TXN000358,Credit Card,MasterCard,Failed
TXN000359,Debit Card,Amex,Failed
TXN000360,Crypto,None,Pending
TXN000361,Crypto,None,Failed
TXN000362,PayPal,None,Pending
TXN000363,PayPal,None,Failed
TXN000364,Credit Card,Amex,Pending
TXN000365,Crypto,None,Failed
TXN000366,Debit Card,Amex,Pending
TXN000367,Credit Card,None,Failed
TXN000368,Debit Card,MasterCard,Success
TXN000369,Credit Card,Amex,Success
TXN000370,Debit Card,MasterCard,Success
TXN000371,Debit Card,Amex,Failed
TXN000372,Bank Transfer,None,Success
TXN000373,Crypto,None,Pending
TXN000374,Bank Transfer,None,Success
TXN000375,Crypto,None,Pending
TXN000376,Bank Transfer,None,Pending
TXN000377,Credit Card,Amex,Success
TXN000378,Bank Transfer,None,Failed
TXN000379,Credit Card,Amex,Pending
TXN000380,Debit Card,Visa,Pending
TXN000381,Debit Card,Amex,Pending
TXN000382,Credit Card,None,Success
TXN000383,Credit Card,None,Success
TXN000384,Debit Card,None,Failed
TXN000385,Crypto,None,Failed
TXN000386,Credit Card,None,Success
TXN000387,PayPal,None,Pending
TXN000388,Debit Card,None,Failed
TXN000389,PayPal,None,Success
TXN000390,Credit Card,Visa,Success
TXN000391,Crypto,None,Failed
TXN000392,PayPal,None,Pending
TXN000393,PayPal,None,Success
TXN000394,Debit Card,Amex,Pending
TXN000395,Credit Card,Visa,Success
TXN000396,Bank Transfer,None,Success
TXN000397,Crypto,None,Success
TXN000398,Debit Card,None,Success
TXN000399,Crypto,None,Pending
TXN000400,Bank Transfer,None,Success
TXN000401,Bank Transfer,None,Success
TXN000402,Credit Card,Visa,Pending
TXN000403,Credit Card,None,Success
TXN000404,Debit Card,MasterCard,Failed
TXN000405,Debit Card,None,Pending
TXN000406,Bank Transfer,None,Success
TXN000407,PayPal,None,Failed
TXN000408,PayPal,None,Success
TXN000409,Credit Card,Amex,Pending
TXN000410,Bank Transfer,None,Pending
TXN000411,Crypto,None,Pending
TXN000412,PayPal,None,Success
TXN000413,Debit Card,None,Failed
TXN000414,Bank Transfer,None,Failed
TXN000415,Crypto,None,Pending
TXN000416,Credit Card,Visa,Failed
TXN000417,PayPal,None,Success
TXN000418,Crypto,None,Success
TXN000419,Bank Transfer,None,Pending
TXN000420,Bank Transfer,None,Failed
TXN000421,Debit Card,Visa,Success
TXN000422,Crypto,None,Success
TXN000423,Credit Card,None,Success
TXN000424,Bank Transfer,None,Pending
TXN000425,Credit Card,Amex,Failed
TXN000426,Bank Transfer,None,Success
TXN000427,Credit Card,Amex,Failed
TXN000428,Crypto,None,Pending
TXN000429,PayPal,None,Failed
TXN000430,Credit Card,Visa,Failed
TXN000431,Credit Card,Visa,Pending
TXN000432,Bank Transfer,None,Failed
TXN000433,Credit Card,Visa,Pending
TXN000434,Bank Transfer,None,Success
TXN000435,Bank Transfer,None,Failed
TXN000436,Crypto,None,Success
TXN000437,Credit Card,None,Success
TXN000438,Debit Card,Amex,Pending
TXN000439,Debit Card,Amex,Success
TXN000440,Credit Card,Amex,Failed
TXN000441,PayPal,None,Pending
TXN000442,Crypto,None,Pending
TXN000443,Crypto,None,Success
TXN000444,Crypto,None,Failed
TXN000445,Crypto,None,Success
TXN000446,Debit Card,MasterCard,Pending
TXN000447,Bank Transfer,None,Failed
TXN000448,Debit Card,Visa,Success
TXN000449,PayPal,None,Success
TXN000450,Credit Card,None,Success
TXN000451,Crypto,None,Success
TXN000452,Bank Transfer,None,Success
TXN000453,Credit Card,Amex,Failed
TXN000454,Debit Card,Visa,Success
TXN000455,Crypto,None,Pending
TXN000456,PayPal,None,Success
TXN000457,PayPal,None,Failed
TXN000458,PayPal,None,Success
TXN000459,Debit Card,Amex,Success
TXN000460,PayPal,None,Success
TXN000461,Debit Card,MasterCard,Pending
TXN000462,Debit Card,None,Failed
TXN000463,PayPal,None,Failed
TXN000464,Bank Transfer,None,Failed
TXN000465,Credit Card,Visa,Pending
TXN000466,Crypto,None,Pending
TXN000467,Bank Transfer,None,Failed
TXN000468,Credit Card,Amex,Pending
TXN000469,Bank Transfer,None,Failed
TXN000470,Debit Card,Visa,Success
TXN000471,Crypto,None,Pending
TXN000472,Bank Transfer,None,Pending
TXN000473,Debit Card,Visa,Success
TXN000474,Crypto,None,Success
TXN000475,Crypto,None,Pending
TXN000476,Bank Transfer,None,Success
TXN000477,Crypto,None,Failed
TXN000478,PayPal,None,Pending
TXN000479,Debit Card,None,Failed
TXN000480,Bank Transfer,None,Success
TXN000481,Debit Card,Amex,Pending
TXN000482,Credit Card,None,Pending
TXN000483,Credit Card,MasterCard,Failed
TXN000484,Crypto,None,Pending
TXN000485,Bank Transfer,None,Failed
TXN000486,Crypto,None,Failed
TXN000487,Debit Card,None,Pending
TXN000488,Debit Card,Visa,Pending
TXN000489,Crypto,None,Pending
TXN000490,PayPal,None,Success
TXN000491,Bank Transfer,None,Pending
TXN000492,Credit Card,Visa,Success
TXN000493,Bank Transfer,None,Failed
TXN000494,PayPal,None,Success
TXN000495,PayPal,None,Pending
TXN000496,Crypto,None,Failed
TXN000497,Credit Card,Amex,Success
TXN000498,Crypto,None,Success
TXN000499,Bank Transfer,None,Pending
TXN000500,Debit Card,Visa,Pending
TXN000501,Credit Card,None,Pending
TXN000502,Credit Card,Visa,Failed
TXN000503,Crypto,None,Failed
TXN000504,Credit Card,Amex,Failed
TXN000505,Credit Card,Amex,Success
TXN000506,Bank Transfer,None,Success
TXN000507,Debit Card,MasterCard,Pending
TXN000508,Crypto,None,Failed
TXN000509,Debit Card,Amex,Failed
TXN000510,Debit Card,MasterCard,Success
TXN000511,Crypto,None,Success
TXN000512,PayPal,None,Failed
TXN000513,Crypto,None,Success
TXN000514,Bank Transfer,None,Success
TXN000515,Debit Card,MasterCard,Success
TXN000516,Credit Card,MasterCard,Failed
TXN000517,PayPal,None,Success
TXN000518,PayPal,None,Success
TXN000519,Debit Card,Amex,Pending
TXN000520,Debit Card,MasterCard,Pending
TXN000521,Credit Card,None,Success
TXN000522,PayPal,None,Success
TXN000523,PayPal,None,Success
TXN000524,Bank Transfer,None,Success
TXN000525,PayPal,None,Pending
TXN000526,PayPal,None,Success
TXN000527,PayPal,None,Pending
TXN000528,Bank Transfer,None,Pending
TXN000529,PayPal,None,Failed
TXN000530,Credit Card,Visa,Failed
TXN000531,Bank Transfer,None,Success
TXN000532,Crypto,None,Failed
TXN000533,Credit Card,MasterCard,Success
TXN000534,Crypto,None,Success
TXN000535,PayPal,None,Failed
TXN000536,Bank Transfer,None,Failed
TXN000537,Crypto,None,Pending
TXN000538,Bank Transfer,None,Success
TXN000539,Credit Card,Visa,Failed
TXN000540,Bank Transfer,None,Pending
TXN000541,Debit Card,MasterCard,Success
TXN000542,Debit Card,Visa,Success
TXN000543,Debit Card,Amex,Success
TXN000544,Bank Transfer,None,Pending
TXN000545,Bank Transfer,None,Failed
TXN000546,Credit Card,Visa,Failed
TXN000547,Crypto,None,Success
TXN000548,Bank Transfer,None,Pending
TXN000549,PayPal,None,Success
TXN000550,Bank Transfer,None,Pending
TXN000551,Debit Card,None,Pending
TXN000552,PayPal,None,Success
TXN000553,Credit Card,Visa,Failed
TXN000554,Debit Card,MasterCard,Success
TXN000555,Crypto,None,Success
TXN000556,Crypto,None,Success
TXN000557,Debit Card,None,Success
TXN000558,Bank Transfer,None,Pending
TXN000559,Debit Card,None,Pending
TXN000560,Crypto,None,Success
TXN000561,Bank Transfer,None,Success
TXN000562,Debit Card,Amex,Failed
TXN000563,PayPal,None,Success
TXN000564,Credit Card,Visa,Pending
TXN000565,Debit Card,Amex,Success
TXN000566,Debit Card,None,Success
TXN000567,PayPal,None,Pending
TXN000568,Credit Card,None,Success
TXN000569,Bank Transfer,None,Success
TXN000570,Debit Card,Visa,Success
TXN000571,PayPal,None,Failed
TXN000572,Debit Card,None,Failed
TXN000573,PayPal,None,Failed
TXN000574,Credit Card,Amex,Failed
TXN000575,Crypto,None,Pending
TXN000576,Crypto,None,Failed
TXN000577,Credit Card,Visa,Pending
TXN000578,Crypto,None,Success
TXN000579,Debit Card,None,Success
TXN000580,Credit Card,Amex,Pending
TXN000581,PayPal,None,Success
TXN000582,Credit Card,Amex,Pending
TXN000583,Crypto,None,Pending
TXN000584,Debit Card,None,Failed
TXN000585,PayPal,None,Success
TXN000586,Crypto,None,Failed
TXN000587,Credit Card,None,Success
TXN000588,Bank Transfer,None,Success
TXN000589,Debit Card,MasterCard,Pending
TXN000590,Credit Card,None,Failed
TXN000591,Debit Card,Visa,Success
TXN000592,Crypto,None,Success
TXN000593,Credit Card,Amex,Success
TXN000594,Crypto,None,Pending
TXN000595,Bank Transfer,None,Pending
TXN000596,Crypto,None,Pending
TXN000597,Bank Transfer,None,Success
TXN000598,PayPal,None,Success
TXN000599,Credit Card,Amex,Success
TXN000600,Crypto,None,Failed
TXN000601,Credit Card,Visa,Failed
TXN000602,Credit Card,MasterCard,Failed
TXN000603,Debit Card,Amex,Success
TXN000604,Crypto,None,Success
TXN000605,Bank Transfer,None,Pending
TXN000606,Debit Card,None,Failed
TXN000607,Bank Transfer,None,Success
TXN000608,Crypto,None,Failed
TXN000609,Bank Transfer,None,Failed
TXN000610,Credit Card,None,Failed
TXN000611,Crypto,None,Success
TXN000612,PayPal,None,Failed
TXN000613,PayPal,None,Pending
TXN000614,Credit Card,MasterCard,Failed
TXN000615,Credit Card,Visa,Success
TXN000616,Debit Card,MasterCard,Failed
TXN000617,Bank Transfer,None,Failed
TXN000618,PayPal,None,Pending
TXN000619,PayPal,None,Success
TXN000620,Bank Transfer,None,Pending
TXN000621,Crypto,None,Success
TXN000622,Credit Card,None,Success
TXN000623,Debit Card,MasterCard,Success
TXN000624,Debit Card,Amex,Pending
TXN000625,Crypto,None,Success
TXN000626,Debit Card,Visa,Success
TXN000627,Bank Transfer,None,Success
TXN000628,Credit Card,MasterCard,Failed
TXN000629,Crypto,None,Pending
TXN000630,Debit Card,None,Pending
TXN000631,Credit Card,Visa,Failed
TXN000632,Crypto,None,Pending
TXN000633,Debit Card,None,Pending
TXN000634,Crypto,None,Pending
TXN000635,PayPal,None,Success
TXN000636,Crypto,None,Success
TXN000637,Debit Card,None,Failed
TXN000638,Credit Card,Amex,Pending
TXN000639,Credit Card,Amex,Failed
TXN000640,Crypto,None,Failed
TXN000641,Credit Card,MasterCard,Success
TXN000642,Bank Transfer,None,Success
TXN000643,Bank Transfer,None,Success
TXN000644,Debit Card,Visa,Pending
TXN000645,PayPal,None,Success
TXN000646,Bank Transfer,None,Pending
TXN000647,Bank Transfer,None,Failed
TXN000648,Crypto,None,Success
TXN000649,PayPal,None,Pending
TXN000650,Bank Transfer,None,Pending
TXN000651,Bank Transfer,None,Failed
TXN000652,Debit Card,MasterCard,Failed
TXN000653,Debit Card,None,Success
TXN000654,Credit Card,Amex,Pending
TXN000655,Crypto,None,Failed
TXN000656,Debit Card,Visa,Success
TXN000657,PayPal,None,Failed
TXN000658,Credit Card,None,Success
TXN000659,Debit Card,MasterCard,Success
TXN000660,Debit Card,Amex,Failed
TXN000661,Crypto,None,Pending
TXN000662,Bank Transfer,None,Success
TXN000663,Debit Card,Visa,Success
TXN000664,Credit Card,Visa,Pending
TXN000665,Crypto,None,Success
TXN000666,Credit Card,MasterCard,Pending
TXN000667,Credit Card,MasterCard,Failed
TXN000668,PayPal,None,Failed
TXN000669,Crypto,None,Success
TXN000670,PayPal,None,Failed
TXN000671,Crypto,None,Pending
TXN000672,Bank Transfer,None,Failed
TXN000673,Debit Card,MasterCard,Success
TXN000674,PayPal,None,Failed
TXN000675,Credit Card,Visa,Pending
TXN000676,Bank Transfer,None,Pending
TXN000677,Bank Transfer,None,Success
TXN000678,Crypto,None,Failed
TXN000679,Credit Card,Amex,Failed
TXN000680,Debit Card,None,Failed
TXN000681,PayPal,None,Success
TXN000682,Debit Card,None,Failed
TXN000683,PayPal,None,Failed
TXN000684,Debit Card,Visa,Failed
TXN000685,Bank Transfer,None,Pending
TXN000686,Credit Card,Amex,Failed
TXN000687,Bank Transfer,None,Pending
TXN000688,Credit Card,Amex,Success
TXN000689,Crypto,None,Success
TXN000690,Credit Card,None,Pending
TXN000691,Credit Card,Amex,Failed
TXN000692,Bank Transfer,None,Failed
TXN000693,Credit Card,None,Pending
TXN000694,Bank Transfer,None,Pending
TXN000695,PayPal,None,Pending
TXN000696,Crypto,None,Failed
TXN000697,Crypto,None,Failed
TXN000698,Bank Transfer,None,Pending
TXN000699,Debit Card,Amex,Success
TXN000700,Crypto,None,Failed
TXN000701,Debit Card,Visa,Success
TXN000702,Bank Transfer,None,Success
TXN000703,PayPal,None,Failed
TXN000704,Debit Card,Visa,Success
TXN000705,PayPal,None,Failed
TXN000706,Bank Transfer,None,Success
TXN000707,Bank Transfer,None,Pending
TXN000708,Debit Card,None,Success
TXN000709,PayPal,None,Failed
TXN000710,Credit Card,Visa,Pending
TXN000711,Bank Transfer,None,Pending
TXN000712,PayPal,None,Failed
TXN000713,Bank Transfer,None,Pending
TXN000714,Bank Transfer,None,Pending
TXN000715,Bank Transfer,None,Pending
TXN000716,Crypto,None,Success
TXN000717,Debit Card,Amex,Success
TXN000718,Bank Transfer,None,Pending
TXN000719,Credit Card,Visa,Success
TXN000720,Debit Card,Amex,Success
TXN000721,Crypto,None,Pending
TXN000722,PayPal,None,Pending
TXN000723,Credit Card,Visa,Failed
TXN000724,Crypto,None,Pending
TXN000725,Bank Transfer,None,Pending
TXN000726,Bank Transfer,None,Pending
TXN000727,Crypto,None,Failed
TXN000728,PayPal,None,Pending
TXN000729,Credit Card,Amex,Pending
TXN000730,Bank Transfer,None,Success
TXN000731,Crypto,None,Pending
TXN000732,PayPal,None,Pending
TXN000733,PayPal,None,Pending
TXN000734,Debit Card,Visa,Pending
TXN000735,PayPal,None,Pending
TXN000736,Crypto,None,Pending
TXN000737,Crypto,None,Failed
TXN000738,Debit Card,None,Pending
TXN000739,PayPal,None,Pending
TXN000740,PayPal,None,Pending
TXN000741,PayPal,None,Pending
TXN000742,PayPal,None,Failed
TXN000743,Credit Card,None,Success
TXN000744,Debit Card,MasterCard,Success
TXN000745,Crypto,None,Success
TXN000746,PayPal,None,Success
TXN000747,Bank Transfer,None,Pending
TXN000748,Bank Transfer,None,Failed
TXN000749,Credit Card,Amex,Success
TXN000750,PayPal,None,Failed
TXN000751,Debit Card,None,Failed
TXN000752,Crypto,None,Success
TXN000753,Bank Transfer,None,Failed
TXN000754,Crypto,None,Pending
TXN000755,Bank Transfer,None,Success
TXN000756,PayPal,None,Pending
