transaction_id,user_id,product_id,amount,payment_method,status,timestamp
TXN000195,395,456,208.12,Bank Transfer,Success,2024-01-01 03:15:00
TXN000196,838,335,208.12,Bank Transfer,Pending,2024-01-01 03:16:00
TXN000197,475,242,208.12,Crypto,Failed,2024-01-01 03:17:00
TXN000198,2975,212,208.12,Bank Transfer,Success,2024-01-01 03:18:00
TXN000199,2857,304,208.12,Debit Card,Pending,2024-01-01 03:19:00
TXN000200,1782,398,208.12,Crypto,Failed,2024-01-01 03:20:00
TXN000201,213,420,208.12,Credit Card,Success,2024-01-01 03:21:00
TXN000202,1459,131,208.12,PayPal,Failed,2024-01-01 03:22:00
TXN000203,4389,172,208.12,Debit Card,Failed,2024-01-01 03:23:00
TXN000204,2283,182,208.12,PayPal,Pending,2024-01-01 03:24:00
TXN000205,1332,9,208.12,Bank Transfer,Failed,2024-01-01 03:25:00
TXN000206,4932,240,208.12,Crypto,Failed,2024-01-01 03:26:00
TXN000207,4775,7,208.12,PayPal,Pending,2024-01-01 03:27:00
TXN000208,905,328,208.12,PayPal,Failed,2024-01-01 03:28:00
TXN000209,4835,423,208.12,PayPal,Success,2024-01-01 03:29:00
TXN000210,2745,210,208.12,Debit Card,Success,2024-01-01 03:30:00
TXN000211,372,153,208.12,Bank Transfer,Success,2024-01-01 03:31:00
TXN000212,3262,177,208.12,Debit Card,Failed,2024-01-01 03:32:00
TXN000213,2093,47,208.12,Crypto,Success,2024-01-01 03:33:00
TXN000214,4350,340,208.12,Credit Card,Failed,2024-01-01 03:34:00
TXN000215,1032,166,208.12,Crypto,Failed,2024-01-01 03:35:00
TXN000216,4133,67,208.12,Crypto,Failed,2024-01-01 03:36:00
TXN000217,2737,341,208.12,PayPal,Success,2024-01-01 03:37:00
TXN000218,2689,196,208.12,Credit Card,Success,2024-01-01 03:38:00
TXN000219,313,99,208.12,Crypto,Success,2024-01-01 03:39:00
TXN000220,3204,394,208.12,Bank Transfer,Failed,2024-01-01 03:40:00
TXN000221,2070,15,208.12,Crypto,Success,2024-01-01 03:41:00
TXN000222,1414,326,208.12,Crypto,Failed,2024-01-01 03:42:00
TXN000223,208,38,208.12,Bank Transfer,Pending,2024-01-01 03:43:00
TXN000224,232,29,208.12,Crypto,Pending,2024-01-01 03:44:00
TXN000225,24,294,208.12,PayPal,Pending,2024-01-01 03:45:00
TXN000226,2921,196,208.12,Bank Transfer,Pending,2024-01-01 03:46:00
TXN000227,2361,7,208.12,Bank Transfer,Failed,2024-01-01 03:47:00
TXN000228,1476,32,208.12,Crypto,Success,2024-01-01 03:48:00
TXN000229,1267,264,208.12,Debit Card,Pending,2024-01-01 03:49:00
TXN000230,2270,353,208.12,Bank Transfer,Pending,2024-01-01 03:50:00
TXN000231,304,70,208.12,Debit Card,Success,2024-01-01 03:51:00
TXN000232,992,371,208.12,PayPal,Failed,2024-01-01 03:52:00
TXN000233,1443,37,208.12,Bank Transfer,Pending,2024-01-01 03:53:00
TXN000234,1893,296,208.12,Credit Card,Success,2024-01-01 03:54:00
TXN000235,3450,133,208.12,Credit Card,Success,2024-01-01 03:55:00
TXN000236,2394,413,208.12,Bank Transfer,Pending,2024-01-01 03:56:00
TXN000237,1694,218,208.12,PayPal,Pending,2024-01-01 03:57:00
TXN000238,647,329,208.12,Crypto,Success,2024-01-01 03:58:00
TXN000239,4,211,208.12,PayPal,Pending,2024-01-01 03:59:00
TXN000240,4026,344,208.12,Credit Card,Pending,2024-01-01 04:00:00
TXN000241,1573,284,208.12,Debit Card,Success,2024-01-01 04:01:00
TXN000242,2883,149,208.12,Bank Transfer,Failed,2024-01-01 04:02:00
TXN000243,3227,475,208.12,Debit Card,Failed,2024-01-01 04:03:00
TXN000244,3053,148,208.12,Debit Card,Pending,2024-01-01 04:04:00
TXN000245,1006,133,208.12,Credit Card,Failed,2024-01-01 04:05:00
TXN000246,4685,264,208.12,Credit Card,Pending,2024-01-01 04:06:00
TXN000247,3476,426,208.12,Bank Transfer,Success,2024-01-01 04:07:00
TXN000248,3433,97,208.12,Bank Transfer,Failed,2024-01-01 04:08:00
TXN000249,411,277,208.12,Bank Transfer,Pending,2024-01-01 04:09:00
TXN000250,1367,275,208.12,Bank Transfer,Success,2024-01-01 04:10:00
TXN000251,4989,448,208.12,PayPal,Failed,2024-01-01 04:11:00
TXN000252,2642,149,208.12,Crypto,Success,2024-01-01 04:12:00
TXN000253,3478,391,208.12,Credit Card,Success,2024-01-01 04:13:00
TXN000254,4369,72,208.12,Credit Card,Success,2024-01-01 04:14:00
TXN000255,3074,419,208.12,Debit Card,Pending,2024-01-01 04:15:00
TXN000256,2164,276,208.12,Credit Card,Pending,2024-01-01 04:16:00
TXN000257,3938,63,208.12,Credit Card,Success,2024-01-01 04:17:00
TXN000258,2337,150,208.12,PayPal,Pending,2024-01-01 04:18:00
TXN000259,3438,243,208.12,Credit Card,Success,2024-01-01 04:19:00
TXN000260,3688,76,208.12,Crypto,Pending,2024-01-01 04:20:00
TXN000261,4816,242,208.12,Crypto,Success,2024-01-01 04:21:00
TXN000262,276,76,208.12,Credit Card,Pending,2024-01-01 04:22:00
TXN000263,2721,15,208.12,PayPal,Failed,2024-01-01 04:23:00
TXN000264,3568,232,208.12,Debit Card,Pending,2024-01-01 04:24:00
TXN000265,4292,478,208.12,Credit Card,Success,2024-01-01 04:25:00
TXN000266,4863,119,208.12,Credit Card,Pending,2024-01-01 04:26:00
TXN000267,2568,66,208.12,Debit Card,Success,2024-01-01 04:27:00
TXN000268,297,292,208.12,Crypto,Pending,2024-01-01 04:28:00
TXN000269,3547,14,208.12,Credit Card,Pending,2024-01-01 04:29:00
TXN000270,715,343,208.12,Credit Card,Pending,2024-01-01 04:30:00
TXN000271,1667,7,208.12,Credit Card,Pending,2024-01-01 04:31:00
TXN000272,4754,406,208.12,Bank Transfer,Failed,2024-01-01 04:32:00
TXN000273,4552,50,208.12,PayPal,Pending,2024-01-01 04:33:00
TXN000274,2743,459,208.12,Bank Transfer,Failed,2024-01-01 04:34:00
TXN000275,2375,430,208.12,Bank Transfer,Failed,2024-01-01 04:35:00
TXN000276,4585,200,208.12,PayPal,Success,2024-01-01 04:36:00
TXN000277,2310,105,208.12,Crypto,Pending,2024-01-01 04:37:00
TXN000278,2144,320,208.12,Credit Card,Pending,2024-01-01 04:38:00
TXN000279,638,232,208.12,PayPal,Failed,2024-01-01 04:39:00
TXN000280,1578,102,208.12,PayPal,Failed,2024-01-01 04:40:00
TXN000281,910,199,208.12,Credit Card,Pending,2024-01-01 04:41:00
TXN000282,3306,126,208.12,Crypto,Pending,2024-01-01 04:42:00
TXN000283,413,123,208.12,Bank Transfer,Pending,2024-01-01 04:43:00
TXN000284,3860,403,208.12,Credit Card,Success,2024-01-01 04:44:00
TXN000285,4580,109,208.12,Bank Transfer,Pending,2024-01-01 04:45:00
TXN000286,3833,290,208.12,Debit Card,Pending,2024-01-01 04:46:00
TXN000287,4090,135,208.12,Bank Transfer,Success,2024-01-01 04:47:00
TXN000288,2898,405,208.12,Crypto,Pending,2024-01-01 04:48:00
TXN000289,855,238,208.12,PayPal,Success,2024-01-01 04:49:00
TXN000290,1540,328,208.12,Crypto,Success,2024-01-01 04:50:00
TXN000291,2641,413,208.12,Credit Card,Failed,2024-01-01 04:51:00
TXN000292,2310,338,208.12,Debit Card,Success,2024-01-01 04:52:00
TXN000293,3258,348,208.12,Bank Transfer,Success,2024-01-01 04:53:00
TXN000294,2670,222,208.12,Debit Card,Failed,2024-01-01 04:54:00
TXN000295,2398,458,208.12,PayPal,Failed,2024-01-01 04:55:00
TXN000296,501,238,208.12,Bank Transfer,Failed,2024-01-01 04:56:00
TXN000297,4695,110,208.12,Credit Card,Pending,2024-01-01 04:57:00
TXN000298,4914,463,208.12,PayPal,Pending,2024-01-01 04:58:00
TXN000299,2884,123,208.12,Credit Card,Success,2024-01-01 04:59:00
TXN000300,4047,188,208.12,Debit Card,Failed,2024-01-01 05:00:00
TXN000301,1141,410,208.12,PayPal,Success,2024-01-01 05:01:00
TXN000302,1507,97,208.12,Debit Card,Success,2024-01-01 05:02:00
TXN000303,108,306,208.12,Credit Card,Pending,2024-01-01 05:03:00
TXN000304,136,489,208.12,Crypto,Success,2024-01-01 05:04:00
TXN000305,1836,349,208.12,Crypto,Pending,2024-01-01 05:05:00
TXN000306,465,249,208.12,Debit Card,Failed,2024-01-01 05:06:00
TXN000307,896,152,208.12,Debit Card,Failed,2024-01-01 05:07:00
TXN000308,247,479,208.12,Bank Transfer,Success,2024-01-01 05:08:00
TXN000309,130,423,208.12,Crypto,Pending,2024-01-01 05:09:00
TXN000310,387,495,208.12,PayPal,Success,2024-01-01 05:10:00
TXN000311,3437,204,208.12,Crypto,Failed,2024-01-01 05:11:00
TXN000312,3991,143,208.12,Crypto,Pending,2024-01-01 05:12:00
TXN000313,2607,2,208.12,Bank Transfer,Pending,2024-01-01 05:13:00
TXN000314,4529,97,208.12,Debit Card,Success,2024-01-01 05:14:00
TXN000315,871,357,208.12,Bank Transfer,Pending,2024-01-01 05:15:00
TXN000316,308,95,208.12,PayPal,Pending,2024-01-01 05:16:00
TXN000317,1005,44,208.12,Debit Card,Pending,2024-01-01 05:17:00
TXN000318,2747,421,208.12,Credit Card,Pending,2024-01-01 05:18:00
TXN000319,3055,279,208.12,PayPal,Failed,2024-01-01 05:19:00
TXN000320,3863,87,208.12,Debit Card,Pending,2024-01-01 05:20:00
TXN000321,3924,160,208.12,PayPal,Pending,2024-01-01 05:21:00
TXN000322,100,433,208.12,Crypto,Failed,2024-01-01 05:22:00
TXN000323,1263,369,208.12,Crypto,Failed,2024-01-01 05:23:00
TXN000324,155,19,208.12,Debit Card,Success,2024-01-01 05:24:00
TXN000325,3780,136,208.12,Bank Transfer,Success,2024-01-01 05:25:00
TXN000326,1630,162,208.12,Credit Card,Failed,2024-01-01 05:26:00
TXN000327,4821,25,208.12,Bank Transfer,Success,2024-01-01 05:27:00
TXN000328,1059,309,208.12,Crypto,Failed,2024-01-01 05:28:00
TXN000329,3219,129,208.12,Bank Transfer,Pending,2024-01-01 05:29:00
TXN000330,2487,342,208.12,Debit Card,Pending,2024-01-01 05:30:00
TXN000331,3060,152,208.12,Debit Card,Failed,2024-01-01 05:31:00
TXN000332,866,333,208.12,Bank Transfer,Success,2024-01-01 05:32:00
TXN000333,3187,135,208.12,Bank Transfer,Success,2024-01-01 05:33:00
TXN000334,3534,419,208.12,Crypto,Pending,2024-01-01 05:34:00
TXN000335,1483,62,208.12,Credit Card,Pending,2024-01-01 05:35:00
TXN000336,1997,356,208.12,Credit Card,Failed,2024-01-01 05:36:00
TXN000337,298,292,208.12,Crypto,Success,2024-01-01 05:37:00
TXN000338,4509,307,208.12,Credit Card,Pending,2024-01-01 05:38:00
TXN000339,3995,96,208.12,Crypto,Success,2024-01-01 05:39:00
TXN000340,1658,248,208.12,Crypto,Success,2024-01-01 05:40:00
TXN000341,4272,293,208.12,Bank Transfer,Pending,2024-01-01 05:41:00
TXN000342,116,238,208.12,Credit Card,Failed,2024-01-01 05:42:00
TXN000343,2175,65,208.12,Bank Transfer,Pending,2024-01-01 05:43:00
TXN000344,3204,335,208.12,Debit Card,Failed,2024-01-01 05:44:00
TXN000345,1459,41,208.12,Credit Card,Success,2024-01-01 05:45:00
TXN000346,3388,392,208.12,PayPal,Pending,2024-01-01 05:46:00
TXN000347,2478,385,208.12,Credit Card,Success,2024-01-01 05:47:00
TXN000348,4084,113,208.12,Debit Card,Failed,2024-01-01 05:48:00
TXN000349,3698,250,208.12,PayPal,Success,2024-01-01 05:49:00
TXN000350,1505,1,208.12,Crypto,Failed,2024-01-01 05:50:00
TXN000351,2600,463,208.12,PayPal,Pending,2024-01-01 05:51:00
TXN000352,3787,134,208.12,Debit Card,Success,2024-01-01 05:52:00
TXN000353,753,194,208.12,Credit Card,Success,2024-01-01 05:53:00
TXN000354,1985,424,208.12,Debit Card,Success,2024-01-01 05:54:00
TXN000355,2725,267,208.12,Crypto,Success,2024-01-01 05:55:00
TXN000356,992,272,208.12,PayPal,Pending,2024-01-01 05:56:00
TXN000357,3449,415,208.12,Credit Card,Failed,2024-01-01 05:57:00
TXN000358,4279,238,208.12,Credit Card,Failed,2024-01-01 05:58:00
TXN000359,1365,104,208.12,Debit Card,Failed,2024-01-01 05:59:00
TXN000360,1627,442,208.12,Crypto,Pending,2024-01-01 06:00:00
TXN000361,2386,308,208.12,Crypto,Failed,2024-01-01 06:01:00
TXN000362,3059,366,208.12,PayPal,Pending,2024-01-01 06:02:00
TXN000363,4291,97,208.12,PayPal,Failed,2024-01-01 06:03:00
TXN000364,4785,190,208.12,Credit Card,Pending,2024-01-01 06:04:00
TXN000365,2404,349,208.12,Crypto,Failed,2024-01-01 06:05:00
TXN000366,3257,221,208.12,Debit Card,Pending,2024-01-01 06:06:00
TXN000367,3647,74,208.12,Credit Card,Failed,2024-01-01 06:07:00
TXN000368,4179,19,208.12,Debit Card,Success,2024-01-01 06:08:00
TXN000369,2882,199,208.12,Credit Card,Success,2024-01-01 06:09:00
TXN000370,838,155,208.12,Debit Card,Success,2024-01-01 06:10:00
TXN000371,2602,114,208.12,Debit Card,Failed,2024-01-01 06:11:00
